天津联通,#genre#
CCTV-央视文化精品,http://xuys.top:8888/udp/225.1.1.27:5002$天津联通 组播
CCTV-老故事,http://xuys.top:8888/udp/225.1.1.188:5002$天津联通 组播
CCTV-中学生,http://xuys.top:8888/udp/225.1.1.193:5002$天津联通 组播
中国天气,http://xuys.top:8888/udp/225.1.2.119:5002$天津联通 组播
CGTN Documentary,http://xuys.top:8888/udp/225.1.1.55:5002$天津联通 组播
CHC动作电影,http://mi.homeway.top:8888/udp/225.1.1.221:5002$天津联通 组播
CHC动作电影,http://mi.homeway.top:8888/udp/225.1.1.215:5002$天津联通 组播
CHC影迷电影,http://mi.homeway.top:8888/udp/225.1.1.214:5002$天津联通 组播
CHC家庭影院,http://mi.homeway.top:8888/udp/225.1.1.220:5002$天津联通 组播
CHC家庭影院,http://mi.homeway.top:8888/udp/225.1.1.213:5002$天津联通 组播
环球奇观,http://mi.homeway.top:8888/udp/225.1.1.197:5002$天津联通 组播
书画频道,http://xuys.top:8888/udp/225.1.2.22:5002$天津联通 组播
早期教育,http://xuys.top:8888/udp/225.1.2.207:5002$天津联通 组播

CCTV-1,http://mi.homeway.top:8888/udp/225.1.1.12:5002$天津联通 组播
CCTV-1,http://mi.homeway.top:8888/udp/225.1.1.120:5002$天津联通 组播
CCTV-2,http://wsd.saj-web.top:4000/udp/225.1.1.13:5002$天津联通 组播
CCTV-2,http://wsd.saj-web.top:4000/udp/225.1.1.133:5002$天津联通 组播
CCTV-3,http://wsd.saj-web.top:4000/udp/225.1.1.14:5002$天津联通 组播
CCTV-3,http://wsd.saj-web.top:4000/udp/225.1.1.158:5002$天津联通 组播
CCTV-4,http://wsd.saj-web.top:4000/udp/225.1.1.15:5002$天津联通 组播
CCTV-4,http://wsd.saj-web.top:4000/udp/225.1.1.150:5002$天津联通 组播
CCTV-5,http://wsd.saj-web.top:4000/udp/225.1.1.16:5002$天津联通 组播
CCTV-5+,http://wsd.saj-web.top:4000/udp/225.1.1.121:5002$天津联通 组播
CCTV-5,http://wsd.saj-web.top:4000/udp/225.1.1.160:5002$天津联通 组播
CCTV-6,http://wsd.saj-web.top:4000/udp/225.1.1.17:5002$天津联通 组播
CCTV-6,http://wsd.saj-web.top:4000/udp/225.1.1.195:5002$天津联通 组播
CCTV-7,http://wsd.saj-web.top:4000/udp/225.1.1.18:5002$天津联通 组播
CCTV-7,http://wsd.saj-web.top:4000/udp/225.1.1.138:5002$天津联通 组播
CCTV-8,http://wsd.saj-web.top:4000/udp/225.1.1.19:5002$天津联通 组播
CCTV-8,http://wsd.saj-web.top:4000/udp/225.1.1.196:5002$天津联通 组播
CCTV-9,http://wsd.saj-web.top:4000/udp/225.1.1.20:5002$天津联通 组播
CCTV-9,http://wsd.saj-web.top:4000/udp/225.1.1.119:5002$天津联通 组播
CCTV-10,http://wsd.saj-web.top:4000/udp/225.1.1.21:5002$天津联通 组播
CCTV-10,http://wsd.saj-web.top:4000/udp/225.1.1.140:5002$天津联通 组播
CCTV-11,http://wsd.saj-web.top:4000/udp/225.1.1.22:5002$天津联通 组播
CCTV-11,http://wsd.saj-web.top:4000/udp/225.1.2.192:5002$天津联通 组播
CCTV-12,http://wsd.saj-web.top:4000/udp/225.1.1.23:5002$天津联通 组播
CCTV-12,http://wsd.saj-web.top:4000/udp/225.1.1.142:5002$天津联通 组播
CCTV-13,http://wsd.saj-web.top:4000/udp/225.1.1.24:5002$天津联通 组播
CCTV-13,http://wsd.saj-web.top:4000/udp/225.1.2.193:5002$天津联通 组播
CCTV-14,http://wsd.saj-web.top:4000/udp/225.1.1.25:5002$天津联通 组播
CCTV-14,http://wsd.saj-web.top:4000/udp/225.1.1.144:5002$天津联通 组播
CCTV-15,http://wsd.saj-web.top:4000/udp/225.1.1.26:5002$天津联通 组播
CCTV-15,http://wsd.saj-web.top:4000/udp/225.1.2.194:5002$天津联通 组播
CCTV-16,http://wsd.saj-web.top:4000/udp/225.1.2.237:5002$天津联通 组播
CCTV-17,http://wsd.saj-web.top:4000/udp/225.1.2.52:5002$天津联通 组播
CCTV-兵器科技,http://wsd.saj-web.top:4000/udp/225.1.2.166:5002$天津联通 组播
CCTV-第一剧场,http://wsd.saj-web.top:4000/udp/225.1.2.175:5002$天津联通 组播
CCTV-电视指南,http://wsd.saj-web.top:4000/udp/225.1.2.167:5002$天津联通 组播
CCTV-发现之旅,http://wsd.saj-web.top:4000/udp/225.1.1.183:5002$天津联通 组播
CCTV-风云剧场,http://wsd.saj-web.top:4000/udp/225.1.2.174:5002$天津联通 组播
CCTV-风云音乐,http://wsd.saj-web.top:4000/udp/225.1.2.176:5002$天津联通 组播
CCTV-风云足球,http://wsd.saj-web.top:4000/udp/225.1.2.168:5002$天津联通 组播
CCTV-高尔夫网球,http://wsd.saj-web.top:4000/udp/225.1.2.169:5002$天津联通 组播
CCTV-怀旧剧场,http://wsd.saj-web.top:4000/udp/225.1.2.173:5002$天津联通 组播
CCTV-女性时尚,http://wsd.saj-web.top:4000/udp/225.1.2.172:5002$天津联通 组播
CCTV-世界地理,http://wsd.saj-web.top:4000/udp/225.1.2.171:5002$天津联通 组播
CCTV-央视台球,http://wsd.saj-web.top:4000/udp/225.1.2.170:5002$天津联通 组播
CCTV-央视文化精品,http://wsd.saj-web.top:4000/udp/225.1.2.177:5002$天津联通 组播
CGTN,http://wsd.saj-web.top:4000/udp/225.1.1.27:5002$天津联通 组播
CGTN Documentary,http://wsd.saj-web.top:4000/udp/225.1.1.55:5002$天津联通 组播
CHC动作电影,http://wsd.saj-web.top:4000/udp/225.1.1.221:5002$天津联通 组播
CHC动作电影,http://wsd.saj-web.top:4000/udp/225.1.1.215:5002$天津联通 组播
CHC影迷电影,http://wsd.saj-web.top:4000/udp/225.1.1.214:5002$天津联通 组播
CHC家庭影院,http://wsd.saj-web.top:4000/udp/225.1.1.220:5002$天津联通 组播
CHC家庭影院,http://wsd.saj-web.top:4000/udp/225.1.1.213:5002$天津联通 组播
环球奇观,http://wsd.saj-web.top:4000/udp/225.1.1.197:5002$天津联通 组播
书画频道,http://wsd.saj-web.top:4000/udp/225.1.2.22:5002$天津联通 组播
早期教育,http://wsd.saj-web.top:4000/udp/225.1.2.207:5002$天津联通 组播
中国天气,http://wsd.saj-web.top:4000/udp/225.1.2.119:5002$天津联通 组播
CCTV-老故事,http://wsd.saj-web.top:4000/udp/225.1.1.188:5002$天津联通 组播
CCTV-中学生,http://wsd.saj-web.top:4000/udp/225.1.1.193:5002$天津联通 组播

广西卫视,http://mi.homeway.top:8888/udp/225.1.2.81:5002$天津联通 组播
贵州卫视,http://mi.homeway.top:8888/udp/225.1.1.63:5002$天津联通 组播
贵州卫视,http://mi.homeway.top:8888/udp/225.1.2.28:5002$天津联通 组播
辽宁卫视,http://xuys.top:8888/udp/225.1.1.40:5002$天津联通 组播
辽宁卫视,http://xuys.top:8888/udp/225.1.1.154:5002$天津联通 组播
内蒙古卫视,http://xuys.top:8888/udp/225.1.1.32:5002$天津联通 组播
宁夏卫视,http://xuys.top:8888/udp/225.1.1.56:5002$天津联通 组播
青海卫视,http://xuys.top:8888/udp/225.1.1.54:5002$天津联通 组播
三沙卫视,http://xuys.top:8888/udp/225.1.1.182:5002$天津联通 组播
三沙卫视,http://xuys.top:8888/udp/225.1.2.181:5002$天津联通 组播
山西卫视,http://xuys.top:8888/udp/225.1.1.50:5002$天津联通 组播
陕西卫视,http://xuys.top:8888/udp/225.1.1.41:5002$天津联通 组播
东方卫视,http://xuys.top:8888/udp/225.1.2.31:5002$天津联通 组播
东方卫视,http://xuys.top:8888/udp/225.1.1.45:5002$天津联通 组播
深圳卫视,http://xuys.top:8888/udp/225.1.1.43:5002$天津联通 组播
深圳卫视,http://xuys.top:8888/udp/225.1.1.117:5002$天津联通 组播
四川卫视,http://xuys.top:8888/udp/225.1.1.37:5002$天津联通 组播
四川卫视,http://xuys.top:8888/udp/225.1.1.123:5002$天津联通 组播
吉林卫视,http://xuys.top:8888/udp/225.1.1.44:5002$天津联通 组播
吉林卫视,http://xuys.top:8888/udp/225.1.2.26:5002$天津联通 组播
江苏卫视,http://xuys.top:8888/udp/225.1.1.52:5002$天津联通 组播
江苏卫视,http://xuys.top:8888/udp/225.1.1.126:5002$天津联通 组播
江西卫视,http://xuys.top:8888/udp/225.1.1.39:5002$天津联通 组播
江西卫视,http://xuys.top:8888/udp/225.1.2.29:5002$天津联通 组播
重庆卫视,http://xuys.top:8888/udp/225.1.1.60:5002$天津联通 组播
重庆卫视,http://xuys.top:8888/udp/225.1.1.155:5002$天津联通 组播
浙江卫视,http://xuys.top:8888/udp/225.1.1.33:5002$天津联通 组播
浙江卫视,http://xuys.top:8888/udp/225.1.1.112:5002$天津联通 组播
云南卫视,http://xuys.top:8888/udp/225.1.1.61:5002$天津联通 组播
新疆卫视,http://xuys.top:8888/udp/225.1.1.35:5002$天津联通 组播
西藏卫视,http://xuys.top:8888/udp/225.1.1.51:5002$天津联通 组播
天津卫视,http://xuys.top:8888/udp/225.1.1.1:5002$天津联通 组播
天津卫视,http://xuys.top:8888/udp/225.1.1.111:5002$天津联通 组播
河南卫视,http://xuys.top:8888/udp/225.1.1.53:5002$天津联通 组播
河南卫视,http://xuys.top:8888/udp/225.1.2.61:5002$天津联通 组播
黑龙江卫视,http://xuys.top:8888/udp/225.1.1.28:5002$天津联通 组播
黑龙江卫视,http://xuys.top:8888/udp/225.1.1.115:5002$天津联通 组播
湖北卫视,http://xuys.top:8888/udp/225.1.1.36:5002$天津联通 组播
湖北卫视,http://xuys.top:8888/udp/225.1.1.147:5002$天津联通 组播
湖南卫视,http://xuys.top:8888/udp/225.1.1.34:5002$天津联通 组播
湖南卫视,http://xuys.top:8888/udp/225.1.1.114:5002$天津联通 组播
海南卫视,http://xuys.top:8888/udp/225.1.1.31:5002$天津联通 组播
海南卫视,http://xuys.top:8888/udp/225.1.2.82:5002$天津联通 组播
河北卫视,http://xuys.top:8888/udp/225.1.1.49:5002$天津联通 组播
河北卫视,http://xuys.top:8888/udp/225.1.2.27:5002$天津联通 组播
安徽卫视,http://xuys.top:8888/udp/225.1.1.42:5002$天津联通 组播
安徽卫视,http://xuys.top:8888/udp/225.1.1.127:5002$天津联通 组播
北京卫视,http://xuys.top:8888/udp/225.1.1.47:5002$天津联通 组播
北京卫视,http://xuys.top:8888/udp/225.1.1.113:5002$天津联通 组播
兵团卫视,http://xuys.top:8888/udp/225.1.1.57:5002$天津联通 组播
甘肃卫视,http://xuys.top:8888/udp/225.1.1.30:5002$天津联通 组播
广东卫视,http://xuys.top:8888/udp/225.1.1.29:5002$天津联通 组播
广东卫视,http://xuys.top:8888/udp/225.1.1.116:5002$天津联通 组播
山东教育卫视,http://xuys.top:8888/udp/225.1.2.118:5002$天津联通 组播

西藏卫视,http://wsd.saj-web.top:4000/udp/225.1.1.51:5002$天津联通 组播
新疆卫视,http://wsd.saj-web.top:4000/udp/225.1.1.35:5002$天津联通 组播
云南卫视,http://wsd.saj-web.top:4000/udp/225.1.1.61:5002$天津联通 组播
浙江卫视,http://wsd.saj-web.top:4000/udp/225.1.1.33:5002$天津联通 组播
浙江卫视,http://wsd.saj-web.top:4000/udp/225.1.1.112:5002$天津联通 组播
重庆卫视,http://wsd.saj-web.top:4000/udp/225.1.1.60:5002$天津联通 组播
重庆卫视,http://wsd.saj-web.top:4000/udp/225.1.1.155:5002$天津联通 组播
安徽卫视,http://wsd.saj-web.top:4000/udp/225.1.1.42:5002$天津联通 组播
安徽卫视,http://wsd.saj-web.top:4000/udp/225.1.1.127:5002$天津联通 组播
北京卫视,http://wsd.saj-web.top:4000/udp/225.1.1.47:5002$天津联通 组播
北京卫视,http://wsd.saj-web.top:4000/udp/225.1.1.113:5002$天津联通 组播
兵团卫视,http://wsd.saj-web.top:4000/udp/225.1.1.57:5002$天津联通 组播
东方卫视,http://wsd.saj-web.top:4000/udp/225.1.1.45:5002$天津联通 组播
东方卫视,http://wsd.saj-web.top:4000/udp/225.1.2.31:5002$天津联通 组播
青海卫视,http://wsd.saj-web.top:4000/udp/225.1.1.54:5002$天津联通 组播
三沙卫视,http://wsd.saj-web.top:4000/udp/225.1.2.181:5002$天津联通 组播
三沙卫视,http://wsd.saj-web.top:4000/udp/225.1.1.182:5002$天津联通 组播
山东教育卫视,http://wsd.saj-web.top:4000/udp/225.1.2.118:5002$天津联通 组播
山西卫视,http://wsd.saj-web.top:4000/udp/225.1.1.50:5002$天津联通 组播
陕西卫视,http://wsd.saj-web.top:4000/udp/225.1.1.41:5002$天津联通 组播
深圳卫视,http://wsd.saj-web.top:4000/udp/225.1.1.43:5002$天津联通 组播
深圳卫视,http://wsd.saj-web.top:4000/udp/225.1.1.117:5002$天津联通 组播
四川卫视,http://wsd.saj-web.top:4000/udp/225.1.1.37:5002$天津联通 组播
四川卫视,http://wsd.saj-web.top:4000/udp/225.1.1.123:5002$天津联通 组播
天津卫视,http://wsd.saj-web.top:4000/udp/225.1.1.1:5002$天津联通 组播
天津卫视,http://wsd.saj-web.top:4000/udp/225.1.1.111:5002$天津联通 组播
甘肃卫视,http://wsd.saj-web.top:4000/udp/225.1.1.30:5002$天津联通 组播
广东卫视,http://wsd.saj-web.top:4000/udp/225.1.1.29:5002$天津联通 组播
广东卫视,http://wsd.saj-web.top:4000/udp/225.1.1.116:5002$天津联通 组播
广西卫视,http://wsd.saj-web.top:4000/udp/225.1.2.81:5002$天津联通 组播
贵州卫视,http:/mi.homeway.top:8888/udp/225.1.1.63:5002$天津联通 组播
贵州卫视,http://mi.homeway.top:8888/udp/225.1.2.28:5002$天津联通 组播
海南卫视,http://wsd.saj-web.top:4000/udp/225.1.1.31:5002$天津联通 组播
海南卫视,http://wsd.saj-web.top:4000/udp/225.1.2.82:5002$天津联通 组播
河南卫视,http://wsd.saj-web.top:4000/udp/225.1.1.53:5002$天津联通 组播
河南卫视,http://wsd.saj-web.top:4000/udp/225.1.2.61:5002$天津联通 组播
河北卫视,http://wsd.saj-web.top:4000/udp/225.1.1.49:5002$天津联通 组播
河北卫视,http://wsd.saj-web.top:4000/udp/225.1.2.27:5002$天津联通 组播
黑龙江卫视,http://wsd.saj-web.top:4000/udp/225.1.1.28:5002$天津联通 组播
黑龙江卫视,http://wsd.saj-web.top:4000/udp/225.1.1.115:5002$天津联通 组播
湖北卫视,http://wsd.saj-web.top:4000/udp/225.1.1.36:5002$天津联通 组播
湖北卫视,http://wsd.saj-web.top:4000/udp/225.1.1.147:5002$天津联通 组播
湖南卫视,http://wsd.saj-web.top:4000/udp/225.1.1.34:5002$天津联通 组播
湖南卫视,http://wsd.saj-web.top:4000/udp/225.1.1.114:5002$天津联通 组播
吉林卫视,http://wsd.saj-web.top:4000/udp/225.1.1.44:5002$天津联通 组播
吉林卫视,http://wsd.saj-web.top:4000/udp/225.1.2.26:5002$天津联通 组播
江苏卫视,http://wsd.saj-web.top:4000/udp/225.1.1.52:5002$天津联通 组播
江苏卫视,http://wsd.saj-web.top:4000/udp/225.1.1.126:5002$天津联通 组播
江西卫视,http://wsd.saj-web.top:4000/udp/225.1.1.39:5002$天津联通 组播
江西卫视,http://wsd.saj-web.top:4000/udp/225.1.2.29:5002$天津联通 组播
辽宁卫视,http://wsd.saj-web.top:4000/udp/225.1.1.40:5002$天津联通 组播
辽宁卫视,http://wsd.saj-web.top:4000/udp/225.1.1.154:5002$天津联通 组播
内蒙古卫视,http://wsd.saj-web.top:4000/udp/225.1.1.32:5002$天津联通 组播
宁夏卫视,http://wsd.saj-web.top:4000/udp/225.1.1.56:5002$天津联通 组播
